12925480,LST1_01809,00:59:56,3596,00:59:56,58:55.330,,FAILED,1:0
12925480.batch,batch,00:59:56,3596,00:59:56,58:55.330,3.01G,FAILED,1:0
12927823,LST1_01809,01:23:10,4990,01:23:10,01:21:54,,COMPLETED,0:0
12927823.batch,batch,01:23:10,4990,01:23:10,01:21:54,3.05G,COMPLETED,0:0
12927824_0,LST1_01807,00:30:55,1855,00:30:55,30:30.367,,COMPLETED,0:0
12927824_0.batch,batch,00:30:55,1855,00:30:55,30:30.367,2.38G,COMPLETED,0:0
12927824_1,LST1_01807,00:30:43,1843,00:30:43,30:21.756,,FAILED,1:0
12927824_1.batch,batch,00:30:43,1843,00:30:43,30:21.756,4.70G,FAILED,1:0
12927824_2,LST1_01807,00:30:25,1825,00:30:25,29:45.289,,FAILED,1:0
12927824_2.batch,batch,00:30:25,1825,00:30:25,29:45.289,2.01G,FAILED,1:0
12927824_3,LST1_01807,00:31:03,1863,00:31:03,30:30.598,,FAILED,1:0
12927824_3.batch,batch,00:31:03,1863,00:31:03,30:30.598,5.32G,FAILED,1:0
12927824_4,LST1_01807,00:31:26,1886,00:31:26,30:41.448,,FAILED,1:0
12927824_4.batch,batch,00:31:26,1886,00:31:26,30:41.448,2.60G,FAILED,1:0
12929215,LST1_01809,00:22:49,1369,00:22:49,22:00.665,,FAILED,1:0
12951086,LST1_01809,00:36:00,1369,00:36:00,00:36:00,,RUNNING,0:0
