,Original total size (TB),Final total size (TB),% of original total size,Total gained size (TB),R0 data size (TB),R0G data size (TB),% of original data size,R0V total size (TB),R0V data size (TB),% of original total size (R0V),% of original data size (R0V)
202007,47.75,33.73,71%,14.02,34.22,20.2,59%,5.16107215008,2.93706186624,10.808528062994766,8.582880965049679
202008,48.33,32.03,66%,16.3,40.9,24.6,60%,10.46777344416,3.73769515872,21.658956019366855,9.13861896997555
202009,95.6,85.25,89%,10.35,26.49,16.15,61%,25.60049704512,2.21396408928,26.77876259949791,8.357735331370328
202010,1.31,0.81,62%,0.5,1.23,0.73,59%,0.19068914304,0.13357552896,14.556423132824428,10.859799102439025
202011,78.52,50.67,65%,27.85,68.63,40.79,59%,14.746850712,8.06909741568,18.781012114111057,11.75739095975521
202012,78.04,57.62,74%,20.42,68.44,48.01,70%,15.8284298592,9.12423119616,20.282457533572526,13.33172296341321
202101,12.93,12.46,96%,0.47,1.18,0.72,61%,4.11444190656,0.15851808288,31.820896415777263,13.433735837288136
202102,69.99,48.86,70%,21.13,53.09,31.95,60%,10.79424742176,7.3453675824,15.422556682040291,13.835689550574493
202103,103.92,68.4,66%,35.52,88.17,52.65,60%,19.13623571232,10.96257405024,18.4143915630485,12.433451344266757
202104,66.66,43.41,65%,23.25,57.47,34.22,60%,9.5551583472,6.27399817632,14.334170937893791,10.916997000730817
202105,100.24,63.85,64%,36.39,89.72,53.33,59%,20.47888901376,9.95997471264,20.429857356105348,11.101175560231832
202106,85.01,51.72,61%,33.29,82.96,49.67,60%,11.97643201344,9.92964999744,14.088262573156099,11.9692020219865
202107,103.0,63.03,61%,39.97,100.99,61.02,60%,15.22319298336,13.21247556864,14.779799012970873,13.082954320863452
202108,171.57,107.11,62%,64.46,161.57,97.11,60%,29.45903896512,17.9811769536,17.170273920335724,11.129031969796372
202109,163.44,99.52,61%,63.92,159.73,95.81,60%,22.609800162624,18.89819678592,13.833700540029369,11.831338374707318
202110,27.86,27.86,100%,0.0,0.0,0.0,0%,27.85993479648,0.0,99.99976596008615,
202111,4.89,4.89,100%,0.0,0.0,0.0,0%,4.89052734912,0.0,100.01078423558283,
202112,6.01,6.01,100%,0.0,0.0,0.0,0%,6.00688117728,0.0,99.9481061111481,
202201,24.93,18.27,73%,6.66,16.35,9.68,59%,21.6008689248,9.67646952288,86.6460847364621,59.183299834128434
202202,96.29,61.73,64%,34.56,87.04,52.47,60%,21.11786748576,11.87440790688,21.93152714275626,13.642472319485295
202203,169.73,103.97,61%,65.76,162.61,96.84,60%,26.012086374084,18.88750710144,15.325567886692985,11.615218683623393
202204,150.15,95.48,64%,54.67,137.89,83.23,60%,29.07227044224,18.61649709984,19.362151476683316,13.500976938023063
202205,205.45,131.0,64%,74.45,186.14,111.68,60%,35.313314962132,21.74055369984,17.1882769345982,11.679678575179972
202206,165.96,101.25,61%,64.71,161.49,96.78,60%,24.46254741888,19.97257809888,14.740026162255964,12.36768722452164
202207,0.87,0.87,100%,0.0,0.0,0.0,0%,0.89710775712,0.0,103.11583415172414,
202208,0.02,0.02,100%,0.0,0.0,0.0,0%,0.0245284531199999,0.0,122.6422655999995,
202209,53.42,34.13,64%,19.29,47.17,27.88,59%,10.1822868,5.10659546112,19.060813927368024,10.825939073818105
202210,243.26,161.14,66%,82.12,202.72,120.6,59%,37.56598733952,24.03715745088,15.44273096255858,11.857319184530386
202211,322.17,199.84,62%,122.33,305.4,183.07,60%,56.42565930144,40.2916897872,17.514250023726603,13.193087684086445
202212,152.19,92.79,61%,59.4,146.92,87.51,60%,22.18495097952,16.91081448768,14.577141060201065,11.510219498829295
202301,197.17,117.35,60%,79.82,196.6,116.78,59%,22.68075593664,22.10431566528,11.503147505523154,11.243293827711089
202302,98.36,59.92,61%,38.44,94.52,56.09,59%,13.802558014656,10.70826596064,14.032694199528265,11.329100677782481
202307,85.53,52.31,61%,33.22,82.34,49.11,60%,13.56690821472,9.82787114592,15.862163234794808,11.935719147340295
202308,129.37,77.85,60%,51.52,128.4,76.88,60%,16.45366472928,15.48733940352,12.71830001490299,12.06179081271028
202309,104.12,68.53,66%,35.59,87.52,51.92,59%,24.62536066272,10.0698913152,23.650941858163655,11.505817316270567
202310,99.63,60.81,61%,38.82,95.1,56.88,60%,15.377237861817,13.739222687097,15.434344938087927,14.447132163088328
202311,228.9,136.75,60%,92.15,226.97,134.81,59%,44.004493515048,39.34703886048,19.2243309371114,11.207938854297923
202312,345.93,236.82,68%,109.11,345.31,236.2,68%,43.591763777042,42.628059637202,12.601325059128147,12.344866826098869
202401,107.89,67.05,62%,40.84,105.21,64.36,61%,12.47305695776,9.78641963936,11.560901805320233,9.301796064404526
202402,265.32,162.73,61%,102.59,264.41,161.82,61%,25.31991895848,24.40838283624,9.54316258046133,9.231263127809084
202403,175.74,107.94,61%,67.8,174.27,106.47,61%,17.38169068232,15.82942073672,9.890571686764538,9.083273504745508
202404,3.75,2.24,60%,1.51,3.68,2.16,59%,1.18622680928,0.95649528032,31.63271491413333,25.99171957391304
Total,4691.22,3008.02,65%,1683.2,4292.85,2610.18,60%,,,,
